INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../tb.cpp in debug mode
   Compiling ../../../../deform.cpp in debug mode
   Generating csim.exe
0	0	-128	-107
2	1	93	-128
3	2	23	-128
6	3	127	-128
8	4	-128	-36
10	5	-78	-115
11	6	-127	-128
13	7	-121	-128
14	8	-128	127
17	9	68	-128
18	10	127	-128
19	11	18	-128
20	12	20	-128
26	13	-23	-128
29	14	-29	-128
30	15	-128	127
31	16	-120	-128
33	17	-107	-128
34	18	-56	-128
36	19	-109	-128
37	20	-100	-128
42	21	-126	-128
45	22	127	-128
46	23	-118	127
47	24	127	27
49	25	-128	36
52	26	-111	-126
54	27	127	-128
55	28	-127	-128
56	29	-128	89
57	30	-86	-128
58	31	-99	-128
59	32	-113	-128
60	33	-123	-128
62	34	-127	127
65	35	-77	-128
66	36	126	-128
67	37	-11	-128
70	38	127	-128
74	39	-21	96
75	40	-23	-128
78	41	-128	127
81	42	127	-30
82	43	127	-128
83	44	4	-128
88	45	-128	-101
90	46	-2	-128
93	47	113	-128
94	48	-128	127
95	49	-128	-126
97	50	-58	-128
98	51	47	-128
100	52	-100	-128
106	53	-97	43
107	54	127	-128
109	55	127	-128
110	56	-45	127
111	57	25	-128
114	58	14	-128
116	59	43	-128
118	60	127	-128
121	61	-15	-128
122	62	35	6
123	63	-61	-128
124	64	-17	-128
126	65	-105	127
129	66	-80	-128
130	67	53	-128
134	68	127	-128
136	69	-128	-117
138	70	-10	-98
139	71	-87	-128
140	72	-126	-128
141	73	-125	-128
142	74	-128	127
143	75	-128	-117
145	76	100	-128
147	77	49	-128
151	78	52	-128
154	79	-44	-54
157	80	-69	-128
158	81	-128	127
160	82	-128	-123
161	83	-70	-128
162	84	-29	-128
164	85	-57	-128
170	86	-126	-128
171	87	127	-128
173	88	-30	-128
174	89	-35	127
175	90	127	-14
176	91	-128	-104
177	92	-128	-106
180	93	-55	-128
182	94	127	-128
185	95	3	-128
186	96	78	-128
188	97	-120	-128
190	98	23	127
192	99	-128	-83
195	100	127	-128
197	101	-86	-128
198	102	127	-128
202	103	36	-83
203	104	9	-128
206	105	-128	127
209	106	127	-128
210	107	-12	-128
211	108	-24	-128
212	109	-48	-128
215	110	-53	-128
218	111	47	-97
221	112	-88	-128
222	113	-128	127
223	114	-128	-53
225	115	-83	87
226	116	-29	-128
228	117	-97	-128
229	118	-117	-128
232	119	-128	20
235	120	127	-128
238	121	-70	127
239	122	-128	-50
242	123	-51	-128
244	124	45	-128
246	125	57	-128
249	126	16	-128
250	127	4	127
251	128	-69	-126
252	129	-47	-128
254	130	-55	127
255	131	-128	-107
258	132	127	-128
259	133	127	-128
262	134	127	-128
264	135	-128	6
